Job,Promised_Date,Requested_Date,Shipped_Date,Shipped_Quantity,Promised_Quantity,Customer,Description
23-100,2024-08-12 00:00:00,2024-08-12 00:00:00,2024-08-13 00:00:00,1,1,THEINDUS,LINE 1A THERMOFORMER BLEND TANK
23-099,2024-08-05 00:00:00,2024-08-05 00:00:00,2024-08-05 00:00:00,1,1,THEINDUS,LINE 1 REFINED STOCK TANK
23-096,2024-07-29 00:00:00,2024-07-29 00:00:00,2024-07-29 00:00:00,1,1,THEINDUS,LINE 2 THERMOFORMER BLEND TANK
23-055,2024-07-29 00:00:00,2024-07-29 00:00:00,2024-07-31 00:00:00,1,1,AJAYNAMER,C276 REACTOR
23-098,2024-07-25 00:00:00,2024-07-25 00:00:00,2024-07-25 00:00:00,1,1,THEINDUS,LINE 1 REFINER FEED TANK
23-097,2024-07-24 00:00:00,2024-07-24 00:00:00,2024-07-24 00:00:00,1,1,THEINDUS,WOOD PULP LEVELING TANK
23-098,2024-07-24 00:00:00,2024-07-24 00:00:00,2024-07-24 00:00:00,1,1,THEINDUS,LINE 1 REFINER FEED TANK
23-096,2024-07-24 00:00:00,2024-07-24 00:00:00,2024-07-24 00:00:00,1,1,THEINDUS,LINE 2 THERMOFORMER BLEND TANK
23-069,2024-07-23 00:00:00,2024-07-23 00:00:00,2024-07-23 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F202)
23-068,2024-07-23 00:00:00,2024-07-23 00:00:00,2024-07-23 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F102)
23-069,2024-07-22 00:00:00,2024-07-22 00:00:00,2024-07-22 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F202)
23-068,2024-07-22 00:00:00,2024-07-22 00:00:00,2024-07-22 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F102)
23-097,2024-07-22 00:00:00,2024-07-22 00:00:00,2024-07-22 00:00:00,1,1,THEINDUS,WOOD PULP LEVELING TANK
23-065,2024-07-18 00:00:00,2024-07-18 00:00:00,2024-07-18 00:00:00,1,1,HALOPROD,REBOILER W/BONNET
23-095,2024-06-27 00:00:00,2024-06-27 00:00:00,2024-07-01 00:00:00,1,1,THEINDUS,LINE 2 REFINED STOCK TANK
23-047,2024-06-25 00:00:00,2024-06-25 00:00:00,2024-06-26 00:00:00,1,1,ARCHWOOD,V-3230 MCA STORAGE TANK
23-047,2024-06-25 00:00:00,2024-06-25 00:00:00,2024-06-27 00:00:00,1,1,ARCHWOOD,V-3230 MCA STORAGE TANK
23-048,2024-06-25 00:00:00,2024-06-25 00:00:00,2024-06-26 00:00:00,1,1,ARCHWOOD,V-3240 MCA STORAGE TANK
23-048,2024-06-25 00:00:00,2024-06-25 00:00:00,2024-06-27 00:00:00,1,1,ARCHWOOD,V-3240 MCA STORAGE TANK
23-067,2024-06-24 00:00:00,2024-06-24 00:00:00,2024-06-25 00:00:00,1,1,SYMSENGI,NMP WASTE TANK (TK-F103)
23-067,2024-06-24 00:00:00,2024-06-24 00:00:00,2024-06-25 00:00:00,1,1,SYMSENGI,NMP WASTE TANK (TK-F103)
23-094,2024-06-21 00:00:00,2024-06-21 00:00:00,2024-06-25 00:00:00,1,1,THEINDUS,LINE 2 REFINER FEED TANK
23-046,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3220 MCA STORAGE TANK
23-046,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3220 MCA STORAGE TANK
23-044,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3200 ETHACRYL STORAGE TANK
23-044,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3200 ETHACRYL STORAGE TANK
23-045,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3210 MCA STORAGE TANK
23-045,2024-06-11 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,1,1,ARCHWOOD,V-3210 MCA STORAGE TANK
23-046,2024-06-10 00:00:00,2024-06-10 00:00:00,2024-06-10 00:00:00,1,1,ARCHWOOD,V-3220 MCA STORAGE TANK
23-045,2024-06-10 00:00:00,2024-06-10 00:00:00,2024-06-10 00:00:00,1,1,ARCHWOOD,V-3210 MCA STORAGE TANK
23-044,2024-06-10 00:00:00,2024-06-10 00:00:00,2024-06-10 00:00:00,1,1,ARCHWOOD,V-3200 ETHACRYL STORAGE TANK
